ticker,purchases
AASP,2
ALLY,1
AMTB,2
ANIX,1
ASA,3
AUBN,3
BDSX,2
BFC,1
BFST,1
BST,1
BTO,1
BY,1
CBK,1
CBKM,1
CCFN,10
CRSP,1
CVS,1
CWBC,1
DLPN,1
ELUT,2
EMAT,1
EQPT,1
FAST,2
FATN,8
FINS,4
GDV,3
HEQ,1
HPF,1
HPI,1
HPS,1
HTD,1
HYMC,1
IBM,1
INTC,1
IP,1
IRIX,3
JHI,1
JHS,2
JYNT,2
KFS,2
LOB,1
MIGI,1
MIRM,1
MLAA,1
MNTR,2
MXF,1
NBBK,2
NBTB,1
NFJ,2
NOMA,1
NRIM,3
NWBI,1
NWFL,6
NYC,3
NZF,1
OTF,2
PDT,1
PFBX,2
PKBK,1
PMT,2
PW,1
Q,1
RCG,28
RMBI,1
SCISX,1
SLGL,1
SMBK,1
SQNS,1
STEX,4
STRW,2
TCBI,3
TCGSX,1
THM,4
TOFB,1
TPL,4
UA,4
UBSI,1
USAR,2
VANI,1
WRB,9
WS,1
ZIVO,4
