ALAB,InitialPurchase,5.02,2025-10-17
OKLO,InitialPurchase,5.50,2025-10-17
THAR,InitialPurchase,9.80,2025-10-17
CMCL,IncreasePosition,2360.04,2025-10-17
BTBT,IncreasePosition,223,2025-10-17
ACHR,IncreasePosition,196,2025-10-17
IBKR,IncreasePosition,167,2025-10-17
TNXP,IncreasePosition,61.74,2025-10-17
SNEX,IncreasePosition,50.59,2025-10-17
AGI,IncreasePosition,48.68,2025-10-17
VSTM,IncreasePosition,46,2025-10-17
HOOD,IncreasePosition,40.54,2025-10-17
APP,IncreasePosition,43.93,2025-10-17
RKLB,IncreasePosition,36.92,2025-10-17
DDOG,IncreasePosition,36.13,2025-10-17
