Stock,Transaction,Politician,Traded
V,Purchase,David TaylorHouse / R,2025-11-12
HD,Purchase,David TaylorHouse / R,2025-11-11
RPM,Purchase,David TaylorHouse / R,2025-11-11
IBP,Purchase,David TaylorHouse / R,2025-11-03
IBP,Purchase,David TaylorHouse / R,2025-11-03
CVLT,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-11-03
PGR,Purchase,David TaylorHouse / R,2025-11-03
PGR,Purchase,David TaylorHouse / R,2025-11-03
EPAC,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-30
CRDO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-30
CNS,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-30
IBIT,Purchase,Brandon GillHouse / R,2025-10-29
BRO,Purchase,Byron DonaldsHouse / R,2025-10-24
PGR,Purchase,Byron DonaldsHouse / R,2025-10-24
V,Purchase,Byron DonaldsHouse / R,2025-10-24
DBSDF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-22
AZSEY,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
UNCFF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
MBFJF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
BABAF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
NTDOF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
HESAF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
MHVYF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
AJINF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
AZN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
XIACF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
RACE,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
RNMBF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
SAP,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
TCTZF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
SBGSF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
SMEGF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
BCLYF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
IBDSF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-21
WMT,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-17
KKR,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-17
WPM,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-17
MA,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-17
VRT,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-17
MDB,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-17
MELI,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-17
META,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-17
SYK,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-17
MS,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-17
NET,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-10-17
