Stock,Holdings (Shares),Holdings (USD),% of Portfolio,Change (Shares),Change (USD),% Change
NVDA,2266683275.0,422736430788.0,6.13,43149475.0,8047377088.0,1.94
AAPL,1426283914.0,387749544860.0,5.62,26856752.0,7301276599.0,1.92
MSFT,717942580.0,347211390540.0,5.03,15955898.0,7716591391.0,2.27
AMZN,845400528.0,195135349873.0,2.83,-4937929.0,-1139772772.0,-0.58
AVGO,482707302.0,167064997222.0,2.42,3919715.0,1356613362.0,0.82
GOOGL,528969322.0,165567397786.0,2.4,12531695.0,3922420535.0,2.43
GOOG,421013782.0,132114124792.0,1.91,8128234.0,2550639829.0,1.97
META,199995630.0,132015115407.0,1.91,7269279.0,4798378375.0,3.77
TSLA,258925024.0,116443761793.0,1.69,6538720.0,2940593158.0,2.59
LLY,81965974.0,88087192938.0,1.28,1006885.0,1082079172.0,1.24
JPM,265758185.0,85632602371.0,1.24,-136410.0,-43954030.0,-0.05
BRK.B,157103196.0,78967921469.0,1.14,2777083.0,1395900770.0,1.8
V,160975832.0,56455834041.0,0.82,1054343.0,369768634.0,0.66
XOM,429761518.0,51717501076.0,0.75,287990.0,34656717.0,0.07
JNJ,240349660.0,49740362137.0,0.72,3731074.0,772145764.0,1.58
WMT,439957146.0,49015625636.0,0.71,4304436.0,479557215.0,0.99
MA,79897854.0,45612086892.0,0.66,466514.0,266323512.0,0.59
ABBV,180779699.0,41306353425.0,0.6,3032438.0,692881759.0,1.71
PLTR,215444098.0,38295188420.0,0.55,1557828.0,276903927.0,0.73
COST,43620717.0,37615889098.0,0.55,165349.0,142587057.0,0.38
NFLX,390014981.0,36567804619.0,0.53,4801761.0,450213111.0,1.25
BAC,651076825.0,35809225375.0,0.52,23351183.0,1284315065.0,3.72
HD,99635779.0,34284671554.0,0.5,1325748.0,456189887.0,1.35
ORCL,174802084.0,34070674192.0,0.49,5841584.0,1138583137.0,3.46
PG,237459756.0,34030357632.0,0.49,2829151.0,405445630.0,1.21
AMD,158522860.0,33949255698.0,0.49,2525109.0,540777343.0,1.62
CSCO,398943293.0,30730601860.0,0.45,4049893.0,311963258.0,1.03
MU,106608094.0,30427016109.0,0.44,1954644.0,557874944.0,1.87
UNH,91600260.0,30238161829.0,0.44,995210.0,328528773.0,1.1
IBM,97216131.0,28796390164.0,0.42,1439824.0,426490267.0,1.5
GE,92731541.0,28564096574.0,0.41,699364.0,215425093.0,0.76
CVX,182961533.0,27885167245.0,0.4,-828495.0,-126270923.0,-0.45
WFC,296419877.0,27626332536.0,0.4,-2108595.0,-196521054.0,-0.71
MRK,254322763.0,26770014033.0,0.39,2185853.0,230082887.0,0.87
CAT,46385185.0,26572680931.0,0.39,442164.0,253302491.0,0.96
KO,374771512.0,26200276404.0,0.38,5886352.0,411514868.0,1.6
GS,29014431.0,25503684849.0,0.37,418820.0,368142780.0,1.46
VOO,39068508.0,24501033422.0,0.36,1141931.0,716139188.0,3.01
CRM,89843166.0,23800353105.0,0.34,270913.0,71767563.0,0.3
PM,145262397.0,23300088479.0,0.34,1793949.0,287749420.0,1.25
RTX,124986171.0,22922463761.0,0.33,2210950.0,405488230.0,1.8
LRCX,131185330.0,22456304789.0,0.33,211116.0,36138837.0,0.16
MCD,72351127.0,22112674945.0,0.32,703458.0,214997869.0,0.98
ABT,175556716.0,21995500948.0,0.32,2402408.0,300997698.0,1.39
MS,119718100.0,21253554293.0,0.31,1361940.0,241785208.0,1.15
VTI,62622049.0,20995294368.0,0.3,2291938.0,768418053.0,3.8
PEP,138483870.0,19875205022.0,0.29,1612652.0,231447815.0,1.18
TMO,34133702.0,19778773624.0,0.29,288296.0,167053117.0,0.85
AMAT,76779340.0,19731522587.0,0.29,330197.0,84857327.0,0.43
QCOM,114144068.0,19524342831.0,0.28,647076.0,110682350.0,0.57
LIN,44953116.0,19167559131.0,0.28,354800.0,151283172.0,0.8
INTU,28918438.0,19156151700.0,0.28,296448.0,196373084.0,1.04
C,163239926.0,19048466965.0,0.28,4938923.0,576322925.0,3.12
ISRG,33613298.0,19037227455.0,0.28,13637.0,7723451.0,0.04
DIS,159342154.0,18128356861.0,0.26,1220207.0,138822950.0,0.77
AMGN,54838826.0,17949296138.0,0.26,961975.0,314864037.0,1.79
ACN,66070930.0,17726830519.0,0.26,854361.0,229225056.0,1.31
NEE,216033697.0,17343185195.0,0.25,2234176.0,179359649.0,1.04
WELL,92421471.0,17154349232.0,0.25,2643088.0,490583564.0,2.94
APH,126553498.0,17102439720.0,0.25,1322682.0,178747245.0,1.06
AXP,46109777.0,17058312001.0,0.25,93510.0,34594025.0,0.2
APP,25120575.0,16926745847.0,0.25,166117.0,111932957.0,0.67
KLAC,13872663.0,16856395358.0,0.24,30108.0,36583629.0,0.22
TXN,96527471.0,16746550944.0,0.24,81493.0,14138221.0,0.08
T,664055700.0,16495143588.0,0.24,3585661.0,89067819.0,0.54
GEV,25023625.0,16354690591.0,0.24,208162.0,136048438.0,0.84
BKNG,2997949.0,16055006218.0,0.23,23159.0,124024087.0,0.78
SPGI,30374366.0,15873339928.0,0.23,117728.0,61523476.0,0.39
TJX,102733668.0,15780918741.0,0.23,771882.0,118568794.0,0.76
PLD,123323290.0,15743451201.0,0.23,1258407.0,160648238.0,1.03
UBER,192499602.0,15729142479.0,0.23,1670761.0,136517881.0,0.88
NOW,101963384.0,15619770795.0,0.23,908764.0,139213557.0,0.9
VZ,379402347.0,15453057593.0,0.22,5497598.0,223917167.0,1.47
BA,70989438.0,15413226779.0,0.22,3460021.0,751239760.0,5.12
BLK,14062677.0,15051845700.0,0.22,221123.0,236676792.0,1.6
SCHW,150528952.0,15039347594.0,0.22,-1056262.0,-105531136.0,-0.7
INTC,404522308.0,14926873165.0,0.22,13692624.0,505257826.0,3.5
GILD,121097336.0,14863487021.0,0.22,2113692.0,259434556.0,1.78
ADBE,41283446.0,14448793266.0,0.21,-85949.0,-30081291.0,-0.21
DHR,60978360.0,13959166171.0,0.2,84292.0,19296125.0,0.14
ADI,50893276.0,13802256451.0,0.2,503970.0,136676664.0,1.0
COF,56897238.0,13789614602.0,0.2,360071.0,87266808.0,0.64
UNP,59329262.0,13724044886.0,0.2,659378.0,152527319.0,1.12
CEG,38628336.0,13646232259.0,0.2,205712.0,72671878.0,0.54
LOW,56230787.0,13560616593.0,0.2,924625.0,222982565.0,1.67
PFE,541346182.0,13479519932.0,0.2,7031162.0,175075934.0,1.32
NEM,134107293.0,13390613206.0,0.19,637996.0,63703901.0,0.48
BSX,139685997.0,13319059814.0,0.19,1436550.0,136975043.0,1.04
ANET,101189629.0,13258877088.0,0.19,1188799.0,155768333.0,1.19
PGR,55261140.0,12584066801.0,0.18,593612.0,135177325.0,1.09
PANW,67929063.0,12512533405.0,0.18,2659100.0,489806220.0,4.07
MDT,128961343.0,12388026609.0,0.18,1888381.0,181397879.0,1.49
HON,63161731.0,12322222101.0,0.18,1027413.0,200438002.0,1.65
ETN,37947566.0,12086679247.0,0.18,275228.0,87662870.0,0.73
SYK,33907291.0,11917395568.0,0.17,133892.0,47059021.0,0.4
RY,67628463.0,11529976657.0,0.17,1290142.0,219956310.0,1.94
CRWD,24216545.0,11351747634.0,0.16,340047.0,159400432.0,1.42
COP,120251183.0,11256713241.0,0.16,408304.0,38221337.0,0.34
AMT,63757586.0,11193919374.0,0.16,117418.0,20615078.0,0.18
CB,35819968.0,11180128412.0,0.16,-805893.0,-251535323.0,-2.2
