Ticker,Congress Buys,Insider Buys,Combined,Congress Days,Insider Days,Unique Politicians
RCG,0,1851,1851,0,126,0
AMZN,356,0,356,138,0,17
WRB,0,313,313,0,47,0
AAPL,285,0,285,141,0,17
MSFT,280,2,282,129,2,18
TPL,0,271,271,0,127,0
TSM,145,100,245,70,10,6
NTK,235,0,235,20,0,1
NVDA,229,0,229,82,0,11
MIGI,0,193,193,0,15,0
GOOGL,187,0,187,81,0,12
META,179,0,179,87,0,14
NFLX,169,0,169,90,0,7
AVGO,166,2,168,90,2,12
SG,0,152,152,0,7,0
SRZN,0,144,144,0,22,0
MNTR,0,140,140,0,60,0
TPVG,0,138,138,0,23,0
AMR,0,137,137,0,16,0
NAVN,0,133,133,0,15,0
ASA,0,133,133,0,58,0
BWFG,0,132,132,0,17,0
UUU,0,129,129,0,46,0
NYC,0,122,122,0,34,0
ABT,106,14,120,86,9,10
