Ticker,Congress Buys,Insider Buys,Combined,Congress Days,Insider Days,Unique Politicians
MSFT,280,2,282,129,2,18
TSM,145,100,245,70,10,6
AVGO,166,2,168,90,2,12
ABT,106,14,120,86,9,10
DASH,101,11,112,42,1,3
CHRW,95,16,111,26,4,2
AXP,81,14,95,42,2,6
CRM,81,12,93,60,7,8
IBM,74,10,84,56,7,8
AMH,29,40,69,29,11,2
TSLA,37,25,62,30,1,4
APG,48,12,60,32,4,2
HTGC,9,50,59,9,13,1
CSW,55,3,58,41,3,3
IFF,23,34,57,23,9,2
CSGP,50,5,55,36,4,3
INTC,51,4,55,35,4,4
DIS,51,2,53,31,2,5
AZO,46,7,53,46,6,4
KO,48,3,51,48,1,7
SLND,45,4,49,28,4,2
HOG,46,3,49,43,2,2
ARE,39,10,49,34,6,4
BX,41,8,49,36,3,6
CVS,42,4,46,42,4,2
